Book Id,name,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID,price,layout,cover,excerpt,book-link,tweet,categories,tags
1358729,"Hitler: Speeches and Proclamations, 1932-1945 (English Volume III: 1939-1940) (Hitler: Speeches and Proclamations, 1932-1945)",Adolf Hitler,"Hitler, Adolf",,0865162301,9780865162303,0,4.49,Bolchazy-Carducci Publishers,Hardcover,962,1997,1992,,2/28/2017,altright,altright (#136),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
1505122,This Time The World,George Lincoln Rockwell,"Rockwell, George Lincoln",,1593640145,9781593640149,0,3.82,Liberty Bell Publications,Paperback,,1961,1961,,2/28/2017,altright,altright (#135),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
81201,"The Redneck Manifesto: How Hillbillies, Hicks, and White Trash Became America's Scapegoats",Jim Goad,"Goad, Jim",Leslie Phillips,0684838648,9780684838649,0,3.77,Simon & Schuster,Paperback,272,1998,1997,,2/28/2017,altright,altright (#134),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
3082635,"Hitler's War Directives, 1939-1945",Adolf Hitler,"Hitler, Adolf",,0330201468,9780330201469,0,4.04,Macmillan,,,1966,1964,,2/28/2017,altright,altright (#133),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
2509525,White Power,George Lincoln Rockwell,"Rockwell, George Lincoln",,0965649288,9780965649285,0,3.79,,,,,1967,,2/28/2017,altright,altright (#132),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
2714607,The Ascent of Money: A Financial History of the World,Niall Ferguson,"Ferguson, Niall",,1594201927,9781594201929,0,3.88,Penguin Press,Hardcover,442,2008,2007,,2/28/2017,altright,altright (#131),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
3082252,Hitler's Letters and Notes,Adolf Hitler,"Hitler, Adolf","Werner Maser, Arnold Pomerans",0553064932,9780553064933,0,3.64,Bantam,,,1977,1974,,2/28/2017,altright,altright (#130),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
54332,"Hitler's Table Talk, 1941-1944",Adolf Hitler,"Hitler, Adolf","Norman Cameron, R.H. Stevens, Hugh Trevor-Roper",1929631057,9781929631056,0,3.93,Enigma Books,Hardcover,746,2000,1953,,2/28/2017,altright,altright (#129),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
3260007,"Cultural Insurrections: Essays on Western Civilization, Jewish Influence, and Anti-Semitism",Kevin B. MacDonald,"MacDonald, Kevin B.",,0977988228,9780977988228,0,3.77,Occidental Press,Hardcover,418,2007,2007,,2/28/2017,altright,altright (#128),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
6399505,"Lights Out: Islam, Free Speech And The Twilight Of The West",Mark Steyn,"Steyn, Mark",,0973157054,9780973157055,0,4.27,Stockade Books,Hardcover,322,2009,2009,,2/28/2017,altright,altright (#127),read,,,,0,,,0,,,,,,0,book,,,,,altright,altright
